,Hotel_name,Price_before_Discount,Price_after_Discount,Tax_and_Charges,Type_of_Room,Type_of_Beds,Rating,Review,No_of_Reviews,Rooms_left,Cancellation
275,SS CROWN inn,,"₹ 1,440",+₹ 173 taxes and charges,Deluxe Double Room,1 extra-large double bed,7.9,Good ,69 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
276,Hotel The Shack,,"₹ 2,708",+₹ 325 taxes and charges,Deluxe Double room Non AC,1 large double bed,7.4,Good ,56 reviews,Only 3 rooms left at this price on our site,FREE cancellation • No prepayment needed
277,Sapphire Inn,"₹ 1,140",₹ 912,Includes taxes and charges,Deluxe Double Room,1 double bed,7.0,Good ,62 reviews,Only 1 room left at this price on our site,
278,Octave Kings Suites,,"₹ 1,300",+₹ 156 taxes and charges,Deluxe Double Room,1 single bed,4.3,Review score ,13 reviews,,FREE cancellation • No prepayment needed
279,Livi Suites - Premium 1 BHK Serviced Apartments,,"₹ 2,280",+₹ 274 taxes and charges,One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 35m²1 large double bed,8.2,Very good ,74 reviews,Only 1 left at this price on our site,
280,Palm Meadows Resort,,"₹ 8,000","+₹ 1,440 taxes and charges",Superior King Room,"2 beds (1 double, 1 futon)",8.0,Very good ,108 reviews,Only 7 rooms left at this price on our site,Free cancellation
281,Fountain Tree by TGI,,"₹ 5,000",+₹ 600 taxes and charges,Executive Double Room,1 large double bed,7.7,Good ,89 reviews,,FREE cancellation • No prepayment needed
282,THE EKAH COMFORTS,,"₹ 1,785",+₹ 214 taxes and charges,Deluxe Double Room with Balcony,"2 beds (1 large double, 1 futon)",7.7,Good ,32 reviews,,FREE cancellation • No prepayment needed
283,Bloom Hotel - Brookefield,,"₹ 4,000",+₹ 480 taxes and charges,Standard Queen Room,1 double bed,6.8,Review score ,6 reviews,,FREE cancellation • No prepayment needed
284,Woke HSR layout,,"₹ 2,594",+₹ 311 taxes and charges,Standard Queen Room,1 large double bed,8.7,Fabulous ,243 reviews,Only 1 room left at this price on our site,Free cancellation
285,Comfort Inn Insys,,"₹ 5,810",+₹ 697 taxes and charges,Premium Room,Multiple bed types,7.7,Good ,168 reviews,Only 4 rooms left at this price on our site,FREE cancellation • No prepayment needed
286,White Castle,,"₹ 3,700",+₹ 444 taxes and charges,Premier Gardenia Residence  ,"Private apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 20m²2 beds (1 extra-large double, 1 sofa bed)",7.8,Good ,17 reviews,Only 4 left at this price on our site,Free cancellation
287,FabHotel Phoenix,"₹ 4,650","₹ 2,511",+₹ 301 taxes and charges,Deluxe Room,1 large double bed,7.3,Good ,66 reviews,,Free cancellation
288,ABM Express Inn,,"₹ 1,475",+₹ 177 taxes and charges,Standard King Room,1 double bed,7.5,Good ,193 reviews,,FREE cancellation • No prepayment needed
289,Octave Empire Castle Suites,,"₹ 2,450",+₹ 294 taxes and charges,Deluxe Double Room,1 large double bed,7.1,Good ,78 reviews,,FREE cancellation • No prepayment needed
290,Manpho Bell Hotel & Convention Center,"₹ 2,350","₹ 1,998",+₹ 240 taxes and charges,Deluxe Double or Twin Room,"3 beds (2 singles, 1 large double)",5.9,Review score ,76 reviews,,FREE cancellation • No prepayment needed
291,Hotel Saarang Forever,,"₹ 1,333",+₹ 160 taxes and charges,Standard Double or Twin Room,Multiple bed types,8.2,Very good ,138 reviews,Only 4 rooms left at this price on our site,FREE cancellation • No prepayment needed
292,SPOT ON 74779 Gold Inn Palace,₹ 990,₹ 644,+₹ 30 taxes and charges,Standard Double Room with Fan,1 extra-large double bed,4.8,Review score ,12 reviews,,Free cancellation
293,Le Foliage by TGI,,"₹ 7,500",+₹ 900 taxes and charges,Executive Double Room,1 single bed,7.0,Good ,16 reviews,,Free cancellation
294,Treebo Trend Akshaya Bull Temple,"₹ 4,541","₹ 2,271",+₹ 272 taxes and charges,[Sanitized] Standard Double Room,1 extra-large double bed,8.0,Very good ,168 reviews,Only 3 rooms left at this price on our site,Free cancellation
295,La Sara Vista Formerly Known as Nandhana Vista,,"₹ 1,890",+₹ 227 taxes and charges,Standard Double or Twin Room,"3 beds (2 singles, 1 large double)",5.8,Review score ,41 reviews,Only 3 rooms left at this price on our site,FREE cancellation • No prepayment needed
296,Hotel Parkwood inn,,₹ 799,Includes taxes and charges,Standard Double Room,1 double bed,4.5,Review score ,19 reviews,Only 3 rooms left at this price on our site,FREE cancellation • No prepayment needed
297,SAS Apartment,,"₹ 1,500",+₹ 180 taxes and charges,Standard Double Room,1 single bed,8.1,Very good ,93 reviews,Only 1 room left at this price on our site,FREE cancellation • No prepayment needed
298,Hotel Bestend,,₹ 999,+₹ 30 taxes and charges,Standard Double Room with Fan,1 double bed,7.8,Good ,24 reviews,Only 2 rooms left at this price on our site,FREE cancellation • No prepayment needed
299,The Byke Signature,,"₹ 3,906",+₹ 469 taxes and charges,Superior Double Room,1 large double bed,6.5,Review score ,27 reviews,,Free cancellation
300,"Orange Corner, Near Kempegowda Bangalore international airport","₹ 1,810","₹ 1,448",+₹ 174 taxes and charges,Standard Double Room,Multiple bed types,5.5,Review score ,117 reviews,,FREE cancellation • No prepayment needed
301,Mojatel By Icon,"₹ 3,499","₹ 2,974",+₹ 357 taxes and charges,Superior Twin Room,2 single beds,6.6,Review score ,54 reviews,,FREE cancellation • No prepayment needed
302,Hotel G Grand,,"₹ 1,709",+₹ 205 taxes and charges,Standard Double Room,1 double bed,,,,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
303,ibis Bengaluru Outer Ring Road,,"₹ 7,225",+₹ 867 taxes and charges,Deluxe Queen Room,1 large double bed,7.6,Good ,306 reviews,,FREE cancellation • No prepayment needed
304,"Fortune Park JP Celestial - Member ITC Hotel Group, Bengaluru",,"₹ 4,944",+₹ 759 taxes and charges,Standard Double or Twin Room,Beds: 1 double or 2 singles,6.5,Review score ,289 reviews,,
305,OYO 78919 Cozy Stay HSR Layout Sector-6,"₹ 2,113","₹ 1,374",+₹ 195 taxes and charges,Apartment,Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 16m²1 double bed,4.0,Review score ,43 reviews,,FREE cancellation • No prepayment needed
306,Navanidhi Comforts,,"₹ 1,199",+₹ 144 taxes and charges,Deluxe Double Room,1 double bed,6.6,Review score ,18 reviews,,FREE cancellation • No prepayment needed
307,Classic Heights Serviced Apartments,,"₹ 4,000",+₹ 480 taxes and charges,Two-Bedroom Apartment,Private apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 160m²4 single beds,,,,Only 5 left at this price on our site,FREE cancellation • No prepayment needed
308,Nice Stay The Business Hotel,"₹ 3,699","₹ 2,589",+₹ 311 taxes and charges,Twin Room,1 double bed,9.2,Superb ,17 reviews,,FREE cancellation • No prepayment needed
309,Hotel GM Plaza,,"₹ 1,680",+₹ 202 taxes and charges,Superior Queen Room,1 large double bed,6.4,Review score ,30 reviews,,Free cancellation
310,Hotel Sanman Gardenia,,"₹ 4,000",+₹ 480 taxes and charges,Deluxe Studio,Private studio • 1 bathroom • 23m²1 single bed,6.3,Review score ,18 reviews,Only 5 left at this price on our site,FREE cancellation • No prepayment needed
311,Octave Himalaya Monarch,,"₹ 1,475",+₹ 177 taxes and charges,Deluxe Double Room,1 large double bed,6.6,Review score ,27 reviews,,FREE cancellation • No prepayment needed
312,Our Native Village,"₹ 9,000","₹ 6,750",+₹ 810 taxes and charges,Deluxe Room,1 double bed,7.4,Good ,50 reviews,,
313,NPG Hotel Bangalore,"₹ 2,849","₹ 2,564",+₹ 308 taxes and charges,Standard King Room,1 double bed,6.1,Review score ,24 reviews,Only 7 rooms left at this price on our site,FREE cancellation • No prepayment needed
314,4 Seasons Suites,,"₹ 2,615",+₹ 314 taxes and charges,Superior King Room,1 extra-large double bed,7.0,Good ,124 reviews,Only 2 rooms left at this price on our site,FREE cancellation • No prepayment needed
315,De Venetian by TGI,,"₹ 5,500",+₹ 660 taxes and charges,Superior Double Room,1 large double bed,7.8,Good ,22 reviews,,FREE cancellation • No prepayment needed
316,Treebo Trip Dhanvitha Suites Bannerghatta Main Road,"₹ 3,827","₹ 1,913",+₹ 245 taxes and charges,Deluxe Double Room,1 extra-large double bed,7.8,Good ,15 reviews,Only 7 rooms left at this price on our site,Free cancellation
317,Icon Suites by Bhagini,,"₹ 3,999",+₹ 480 taxes and charges,Deluxe Twin Room,2 single beds,5.8,Review score ,56 reviews,,FREE cancellation • No prepayment needed
318,Octave Nest Inn,,"₹ 1,800",+₹ 216 taxes and charges,Deluxe Double Room,1 large double bed,7.2,Good ,11 reviews,,Free cancellation
319,Parkwood Suites Kadubeesanahalli-Fully Vaccinated Staff,,"₹ 5,723",+₹ 687 taxes and charges,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,8.6,Fabulous ,19 reviews,Only 1 room left at this price on our site,FREE cancellation • No prepayment needed
320,Omatra Infantry Road,"₹ 3,799","₹ 2,089",+₹ 251 taxes and charges,Economy Twin Room,2 single beds,7.5,Good ,95 reviews,Only 1 room left at this price on our site,FREE cancellation • No prepayment needed
321,ABM Boutique Hotel by Purple Cloud,,"₹ 2,253",+₹ 270 taxes and charges,Deluxe Room,1 double bed,6.7,Review score ,14 reviews,,FREE cancellation • No prepayment needed
322,FabHotel Tej,"₹ 5,628","₹ 3,039",+₹ 365 taxes and charges,Deluxe Room,1 large double bed,6.5,Review score ,13 reviews,,Free cancellation
323,Cirrus Suites,,"₹ 1,701",+₹ 204 taxes and charges,Deluxe Double or Twin Room with Balcony,1 extra-large double bed,5.7,Review score ,4 reviews,Only 2 rooms left at this price on our site,FREE cancellation • No prepayment needed
324,Hotel Passport Inn,,"₹ 1,300",+₹ 156 taxes and charges,Superior King Room,1 large double bed,7.8,Good ,25 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
325,Octave Himalaya Monarch,,"₹ 1,475",+₹ 177 taxes and charges,Deluxe Double Room,1 large double bed,6.6,Review score ,27 reviews,,FREE cancellation • No prepayment needed
326,Our Native Village,"₹ 9,000","₹ 6,750",+₹ 810 taxes and charges,Deluxe Room,1 double bed,7.4,Good ,50 reviews,,
327,NPG Hotel Bangalore,"₹ 2,849","₹ 2,564",+₹ 308 taxes and charges,Standard King Room,1 double bed,6.1,Review score ,24 reviews,Only 7 rooms left at this price on our site,FREE cancellation • No prepayment needed
328,4 Seasons Suites,,"₹ 2,615",+₹ 314 taxes and charges,Superior King Room,1 extra-large double bed,7.0,Good ,124 reviews,Only 2 rooms left at this price on our site,FREE cancellation • No prepayment needed
329,De Venetian by TGI,,"₹ 5,500",+₹ 660 taxes and charges,Superior Double Room,1 large double bed,7.8,Good ,22 reviews,,FREE cancellation • No prepayment needed
330,Treebo Trip Dhanvitha Suites Bannerghatta Main Road,"₹ 3,827","₹ 1,913",+₹ 245 taxes and charges,Deluxe Double Room,1 extra-large double bed,7.8,Good ,15 reviews,Only 7 rooms left at this price on our site,Free cancellation
331,Icon Suites by Bhagini,,"₹ 3,999",+₹ 480 taxes and charges,Deluxe Twin Room,2 single beds,5.8,Review score ,56 reviews,,FREE cancellation • No prepayment needed
332,Octave Nest Inn,,"₹ 1,800",+₹ 216 taxes and charges,Deluxe Double Room,1 large double bed,7.2,Good ,11 reviews,,Free cancellation
333,Parkwood Suites Kadubeesanahalli-Fully Vaccinated Staff,,"₹ 5,723",+₹ 687 taxes and charges,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,8.6,Fabulous ,19 reviews,Only 1 room left at this price on our site,FREE cancellation • No prepayment needed
334,Omatra Infantry Road,"₹ 3,799","₹ 2,089",+₹ 251 taxes and charges,Economy Twin Room,2 single beds,7.5,Good ,95 reviews,Only 1 room left at this price on our site,FREE cancellation • No prepayment needed
335,ABM Boutique Hotel by Purple Cloud,,"₹ 2,253",+₹ 270 taxes and charges,Deluxe Room,1 double bed,6.7,Review score ,14 reviews,,FREE cancellation • No prepayment needed
336,FabHotel Tej,"₹ 5,628","₹ 3,039",+₹ 365 taxes and charges,Deluxe Room,1 large double bed,6.5,Review score ,13 reviews,,Free cancellation
337,Cirrus Suites,,"₹ 1,701",+₹ 204 taxes and charges,Deluxe Double or Twin Room with Balcony,1 extra-large double bed,5.7,Review score ,4 reviews,Only 2 rooms left at this price on our site,FREE cancellation • No prepayment needed
338,Hotel Passport Inn,,"₹ 1,300",+₹ 156 taxes and charges,Superior King Room,1 large double bed,7.8,Good ,25 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
339,FabHotel SRK Platinum Inn,"₹ 3,750","₹ 2,025",+₹ 243 taxes and charges,Deluxe Room,1 double bed,6.1,Review score ,19 reviews,,Free cancellation
340,Hoppers Stop Yelahanka,"₹ 1,749","₹ 1,574",+₹ 189 taxes and charges,Deluxe Double Room,"2 beds (1 single, 1 extra-large double)",8.2,Very good ,31 reviews,Only 1 room left at this price on our site,FREE cancellation • No prepayment needed
341,FabHotel Champion Gateway,"₹ 4,015","₹ 2,168",+₹ 260 taxes and charges,Deluxe Room,1 double bed,7.7,Good ,16 reviews,,Free cancellation
342,OYO 84439 S M Comforts,"₹ 2,039","₹ 1,325",+₹ 189 taxes and charges,Standard Double Room,1 extra-large double bed,6.0,Review score ,12 reviews,,Free cancellation
343,Treebo Trend Cocoon Suites Kalyan Nagar,"₹ 3,847","₹ 1,923",+₹ 231 taxes and charges,Deluxe Double Room,1 large double bed,7.9,Good ,68 reviews,Only 3 rooms left at this price on our site,Free cancellation
344,SPOT ON 76312 Sri Balaji Comforts,"₹ 1,558",₹ 779,+₹ 30 taxes and charges,Standard Double Room with Fan,1 double bed,4.4,Review score ,14 reviews,,FREE cancellation • No prepayment needed
345,Hotel Airport City,,"₹ 2,000",+₹ 240 taxes and charges,Double Room,1 large double bed,8.0,Very good ,195 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
346,OYO 80376 Santa Maria,"₹ 2,805","₹ 1,403",+₹ 168 taxes and charges,Classic Triple Room,2 extra-large double beds,5.8,Review score ,15 reviews,,Free cancellation
347,The Urban Nest,,"₹ 2,400",+₹ 288 taxes and charges,Deluxe Room,1 large double bed,8.6,Fabulous ,32 reviews,Only 1 room left at this price on our site,Free cancellation
348,FabHotel Oakwey Inn Indiranagar,"₹ 3,750","₹ 2,025",+₹ 243 taxes and charges,[Sanitised]Deluxe Room,1 large double bed,8.0,Very good ,104 reviews,,Free cancellation
349,OYO BLR2467 Urban Inn,"₹ 3,732","₹ 1,866",+₹ 269 taxes and charges,Classic Triple Room,1 extra-large double bed,6.6,Review score ,57 reviews,,FREE cancellation • No prepayment needed
350,Attide Biz,,"₹ 4,998",+₹ 678 taxes and charges,Executive Double or Twin Room,Multiple bed types,6.9,Review score ,19 reviews,,FREE cancellation • No prepayment needed
351,Atlaantic Inn,"₹ 2,100","₹ 1,890",+₹ 227 taxes and charges,Superior Room Non AC,"2 beds (1 large double, 1 futon)",6.1,Review score ,58 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
352,Raj Residency,,₹ 793,Includes taxes and charges,Deluxe Room,1 double bed,6.8,Review score ,13 reviews,Only 6 rooms left at this price on our site,
353,Square Rooms - An Athulya Hotel,"₹ 3,308","₹ 2,647",+₹ 318 taxes and charges,Deluxe Room,1 double bed,8.7,Fabulous ,42 reviews,Only 6 rooms left at this price on our site,
354,The Capitol,,"₹ 6,000",+₹ 720 taxes and charges,Club Double or Twin Room,Beds: 1 double or 2 singles,2.6,Review score ,13 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
355,Hotel Abooz,,"₹ 1,900",+₹ 228 taxes and charges,Standard Double or Twin Room,1 double bed,8.3,Very good ,6 reviews,Only 1 room left at this price on our site,FREE cancellation • No prepayment needed
356,Zip By Spree Hotels Whitefield,"₹ 2,999","₹ 2,849",+₹ 342 taxes and charges,Double or Twin Room,Multiple bed types,6.8,Review score ,10 reviews,,
357,Elephant Stays Marthahalli - Fully Vaccinated Staff,,"₹ 3,050",+₹ 366 taxes and charges,Standard Double Room,Beds: 1 double or 2 singles,7.0,Good ,63 reviews,,Free cancellation
358,hotel fortune city,,"₹ 1,600",+₹ 192 taxes and charges,Standard Double Room,1 double bed,7.6,Good ,42 reviews,,FREE cancellation • No prepayment needed
359,V One Hotel-Ambara Elite,,"₹ 5,540",+₹ 665 taxes and charges,Double Room with Balcony,1 extra-large double bed,6.2,Review score ,13 reviews,,FREE cancellation • No prepayment needed
360,Alchemy Suits,"₹ 2,970","₹ 2,228",+₹ 267 taxes and charges,Deluxe Double Room,1 extra-large double bed,7.4,Good ,13 reviews,,
361,Jagadish Hotel HSR,"₹ 3,390","₹ 2,678",+₹ 321 taxes and charges,Deluxe Double Room,1 large double bed,,,,,Free cancellation
362,"Keys Select by Lemon Tree Hotels, Whitefield, Bengaluru","₹ 8,216","₹ 4,930",+₹ 592 taxes and charges,Standard  Room,1 large double bed,6.3,Review score ,77 reviews,,
363,OYO 79887 The Purple Orchid Stay,"₹ 2,178","₹ 1,416",+₹ 200 taxes and charges,Apartment,Entire apartment • 1 bedroom • 1 bathroom • 19m²1 double bed,3.2,Review score ,31 reviews,,Free cancellation
364,Capital O 88025 BLOOMS STAY INN,"₹ 4,155","₹ 2,078",+₹ 294 taxes and charges,Triple Room with Balcony,1 large double bed,10,Exceptional ,1 review,,FREE cancellation • No prepayment needed
365,OYO 36197 Royal Wood,"₹ 3,929","₹ 1,964",+₹ 281 taxes and charges,Small Double Room,1 large double bed,6.2,Review score ,25 reviews,Only 5 rooms left at this price on our site,Free cancellation
366,Hotel City Centre Residency,,"₹ 2,875",+₹ 492 taxes and charges,Deluxe Room,1 double bed,6.7,Review score ,20 reviews,Only 3 rooms left at this price on our site,Free cancellation
367,Sheraton Grand Bengaluru Whitefield Hotel & Convention Center,,"₹ 11,250","+₹ 2,025 taxes and charges",Deluxe Room Twin Bed with City View,2 single beds,8.8,Fabulous ,163 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
368,Comet Hotel,,"₹ 2,099",+₹ 252 taxes and charges,Deluxe King Room,1 large double bed,4.6,Review score ,90 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
369,THE NISARGA GRAND,,"₹ 2,700",+₹ 324 taxes and charges,Standard Double Room,1 double bed,7.9,Good ,20 reviews,Only 3 rooms left at this price on our site,
370,Lazdana Hotel Bangalore,,"₹ 4,499",+₹ 540 taxes and charges,Superior Double or Twin Room,"3 beds (2 singles, 1 extra-large double)",7.1,Good ,7 reviews,,FREE cancellation • No prepayment needed
371,Hotel Embassy,,₹ 990,Includes taxes and charges,Double Room,1 large double bed,7.0,Good ,173 reviews,,FREE cancellation • No prepayment needed
372,Hilton Bangalore Embassy GolfLinks,,"₹ 9,900","+₹ 1,782 taxes and charges","King Hilton Guestroom with Sofa cum Bed, Bathtub, 15% disc on F&B andSpa",1 extra-large double bed,8.5,Very good ,506 reviews,,
373,OYO 10114 Hotel Telehaus International,"₹ 3,471","₹ 1,736",+₹ 238 taxes and charges,Standard Double Room,2 large double beds,3.0,Review score ,1 review,,FREE cancellation • No prepayment needed
374,"Royal Orchid Resort & Convention Centre, Yelahanka Bangalore","₹ 8,360","₹ 7,942","+₹ 1,430 taxes and charges",Deluxe Room with 15% discount on Food & Beverages,Beds: 1 double or 2 singles,6.9,Review score ,220 reviews,Only 1 room left at this price on our site,FREE cancellation • No prepayment needed
375,OYO 36197 Royal Wood,"₹ 3,929","₹ 1,964",+₹ 281 taxes and charges,Small Double Room,1 large double bed,6.2,Review score ,25 reviews,Only 5 rooms left at this price on our site,Free cancellation
376,Hotel City Centre Residency,,"₹ 2,875",+₹ 492 taxes and charges,Deluxe Room,1 double bed,6.7,Review score ,20 reviews,Only 3 rooms left at this price on our site,Free cancellation
377,Comet Hotel,,"₹ 2,099",+₹ 252 taxes and charges,Deluxe King Room,1 large double bed,4.6,Review score ,90 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
378,THE NISARGA GRAND,,"₹ 2,700",+₹ 324 taxes and charges,Standard Double Room,1 double bed,7.9,Good ,20 reviews,Only 3 rooms left at this price on our site,
379,Lazdana Hotel Bangalore,,"₹ 4,499",+₹ 540 taxes and charges,Superior Double or Twin Room,"3 beds (2 singles, 1 extra-large double)",7.1,Good ,7 reviews,,FREE cancellation • No prepayment needed
380,Hotel Embassy,,₹ 990,Includes taxes and charges,Double Room,1 large double bed,7.0,Good ,173 reviews,,FREE cancellation • No prepayment needed
381,OYO 10114 Hotel Telehaus International,"₹ 3,471","₹ 1,736",+₹ 238 taxes and charges,Standard Double Room,2 large double beds,3.0,Review score ,1 review,,FREE cancellation • No prepayment needed
382,"Royal Orchid Resort & Convention Centre, Yelahanka Bangalore","₹ 8,360","₹ 7,942","+₹ 1,430 taxes and charges",Deluxe Room with 15% discount on Food & Beverages,Beds: 1 double or 2 singles,6.9,Review score ,220 reviews,Only 1 room left at this price on our site,FREE cancellation • No prepayment needed
383,Adya Classic,,"₹ 1,980",+₹ 238 taxes and charges,Deluxe Family Room,1 extra-large double bed,5.5,Review score ,25 reviews,Only 2 rooms left at this price on our site,FREE cancellation • No prepayment needed
384,Capital O 75327 Atithi Residency,"₹ 3,300","₹ 1,650",+₹ 228 taxes and charges,Standard Double Room,1 extra-large double bed,5.3,Review score ,24 reviews,,Free cancellation
385,OYO 16803 Hotel Blueberry,"₹ 3,089","₹ 1,545",+₹ 230 taxes and charges,Classic Triple Room,1 large double bed,5.8,Review score ,34 reviews,,Free cancellation
386,Shoba Residency-Kammanahalli,"₹ 2,100","₹ 1,890",+₹ 227 taxes and charges,Executive Double Room with Fan,"2 beds (1 large double, 1 futon)",6.8,Review score ,28 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
387,Octave Kanthi Comforts,,"₹ 1,250",+₹ 150 taxes and charges,[Sanitized] Deluxe Double or Twin Room,1 large double bed,7.8,Good ,242 reviews,,FREE cancellation • No prepayment needed
388,OYO Townhouse 159 Sarjapur,"₹ 3,479","₹ 2,261",+₹ 331 taxes and charges,Classic Triple Room,1 large double bed,6.1,Review score ,30 reviews,,Free cancellation
389,Hotel Avora Tree By Rivido Kempegowda Airport Road,"₹ 4,000","₹ 3,200",+₹ 384 taxes and charges,Standard King Room,1 double bed,7.7,Good ,151 reviews,,Free cancellation
390,Mistyblue Serviced Apartments,,"₹ 6,650",+₹ 798 taxes and charges,Two-Bedroom Apartment,Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 111m²2 double beds,8.6,Fabulous ,177 reviews,Only 3 left at this price on our site,FREE cancellation • No prepayment needed
391,Treebo Trend YC Grand Boutique Hotel Neeladri Nagar,"₹ 3,809","₹ 1,905",+₹ 229 taxes and charges,Standard Double Room,"2 beds (1 single, 1 large double)",7.5,Good ,166 reviews,,Free cancellation
392,Lakshmi's Nest - pool facing house at 14th floor in large gated community,,₹ 999,Includes taxes and charges,Apartment With Shared Bathroom,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 100m²2 beds (1 double, 1 sofa bed)",,,,Only 1 left at this price on our site,FREE cancellation • No prepayment needed
393,SM Rooms HSR Layout,,"₹ 1,823",+₹ 219 taxes and charges,Deluxe Double Room,1 double bed,5.7,Review score ,8 reviews,Only 6 rooms left at this price on our site,
394,Hotel U.T.Elegance,,"₹ 1,620",+₹ 194 taxes and charges,Deluxe Double Room,1 extra-large double bed,4.9,Review score ,10 reviews,,
395,OYO Townhouse 500 - CBM RESIDENCY,"₹ 4,534","₹ 2,267",+₹ 302 taxes and charges,Classic Triple Room,1 large double bed,7.5,Good ,48 reviews,,FREE cancellation • No prepayment needed
396,White Mist by Happy Retreats,,"₹ 5,950",+₹ 714 taxes and charges,Triple Room,"2 beds (1 single, 1 double)",8.5,Very good ,4 reviews,,
397,"OYO TOWNHOUSE 014, MG Road","₹ 6,511","₹ 3,255",+₹ 421 taxes and charges,Classic Triple Room,1 large double bed,5.2,Review score ,27 reviews,,FREE cancellation • No prepayment needed
398,OYO Townhouse 82047 SRK Live Inn Castle,"₹ 3,307","₹ 1,654",+₹ 228 taxes and charges,Standard Double Room,1 extra-large double bed,2.5,Review score ,2 reviews,,FREE cancellation • No prepayment needed
399,ICON SELECT by Bhagini,,"₹ 4,999",+₹ 600 taxes and charges,Standard King Room,1 large double bed,6.9,Review score ,50 reviews,,Free cancellation
400,Tristar Service Apartments,,"₹ 3,250",+₹ 390 taxes and charges,Studio Apartment,Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 36m²1 large double bed,8.0,Very good ,113 reviews,Only 4 left at this price on our site,Free cancellation
401,Oasis Executive Suites,,"₹ 1,904",+₹ 228 taxes and charges,Deluxe Double or Twin Room,1 double bed,8.5,Very good ,55 reviews,Only 6 rooms left at this price on our site,FREE cancellation • No prepayment needed
402,Shoba Tulip Hebbal,"₹ 1,699","₹ 1,529",+₹ 183 taxes and charges,Executive Room Non AC,1 double bed,6.8,Review score ,33 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
403,The Green Path Eco Hotel,"₹ 3,250","₹ 2,925",+₹ 351 taxes and charges,Standard Double Room,1 large double bed,4.4,Review score ,5 reviews,,FREE cancellation • No prepayment needed
404,"Lemon Tree Hotel Whitefield, Bengaluru","₹ 8,499","₹ 7,649","+₹ 2,279 taxes and charges",Business Room,2 single beds,7.7,Good ,38 reviews,,FREE cancellation • No prepayment needed
405,OYO 15711 Athiti Residency,"₹ 2,248","₹ 1,124",+₹ 180 taxes and charges,Deluxe Triple Room,1 large double bed,4.9,Review score ,38 reviews,Only 3 rooms left at this price on our site,Free cancellation
406,OYO Townhouse 76427 Hotel Skyline,"₹ 2,948","₹ 1,474",+₹ 237 taxes and charges,Deluxe Double Room,1 extra-large double bed,,,,,Free cancellation
407,Nandu Hospitality - Golden Reevera,,"₹ 1,450",+₹ 174 taxes and charges,Studio Apartment,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 70m²2 beds (1 double, 1 sofa bed)",6.1,Review score ,16 reviews,Only 2 left at this price on our site,FREE cancellation • No prepayment needed
408,OYO 26900 Royal Inn,"₹ 2,200","₹ 1,100",+₹ 162 taxes and charges,Small Double Room,1 large double bed,3.4,Review score ,4 reviews,Only 2 rooms left at this price on our site,Free cancellation
409,Collection O 5898 Checkin Regency,"₹ 2,639","₹ 1,320",+₹ 188 taxes and charges,Classic Triple Room,1 large double bed,5.4,Review score ,12 reviews,,Free cancellation
410,Treebo Trip Akshaya Mayflower Vijaya Bank Layout,"₹ 3,647","₹ 1,823",+₹ 219 taxes and charges,[Sanitized] Standard Double Room,1 extra-large double bed,7.3,Good ,106 reviews,Only 7 rooms left at this price on our site,Free cancellation
411,Capital O 70991 Prime Square,"₹ 2,845","₹ 1,422",+₹ 201 taxes and charges,Standard Double Room,1 large double bed,5.7,Review score ,15 reviews,,Free cancellation
412,Empark,"₹ 2,600","₹ 1,300",+₹ 156 taxes and charges,Economy Double Room,1 double bed,6.5,Review score ,37 reviews,Only 2 rooms left at this price on our site,Free cancellation
413,Treebo Trend The Chevron Brigade,"₹ 4,141","₹ 2,071",+₹ 244 taxes and charges,Standard Double Room,1 single bed,5.1,Review score ,41 reviews,,Free cancellation
414,FabHotel Mayuri Residency,"₹ 5,000","₹ 2,700",+₹ 354 taxes and charges,Deluxe Room,1 double bed,7.0,Good ,67 reviews,,Free cancellation
415,Sarovar Portico Outer Ring Road,,"₹ 5,174",+₹ 621 taxes and charges,Deluxe Double Room,1 double bed,7.6,Good ,190 reviews,Only 2 rooms left at this price on our site,FREE cancellation • No prepayment needed
